event,email,first_name,last_name,district_code,district_name,district_manager,district_meeting_link
caplyta-september-poa-meeting,alpha001.test@example.com,Alpha001,Test001,D001,District 001,Manager 001,https://teams.microsoft.com/l/meetup-join/001/example@contoso.com
caplyta-september-poa-meeting,alpha002.test@example.com,Alpha002,Test002,D001,District 001,Manager 001,https://teams.microsoft.com/l/meetup-join/001/example@contoso.com
caplyta-september-poa-meeting,alpha003.test@example.com,Alpha003,Test003,D001,District 001,Manager 001,https://teams.microsoft.com/l/meetup-join/001/example@contoso.com
caplyta-september-poa-meeting,beta001.test@example.com,Beta001,Test004,D002,District 002,Manager 002,https://teams.microsoft.com/l/meetup-join/002/example@contoso.com
caplyta-september-poa-meeting,beta002.test@example.com,Beta002,Test005,D002,District 002,Manager 002,https://teams.microsoft.com/l/meetup-join/002/example@contoso.com
caplyta-september-poa-meeting,beta003.test@example.com,Beta003,Test006,D002,District 002,Manager 002,https://teams.microsoft.com/l/meetup-join/002/example@contoso.com
caplyta-september-poa-meeting,gamma001.test@example.com,Gamma001,Test007,D003,District 003,Manager 003,https://teams.microsoft.com/l/meetup-join/003/example@contoso.com
caplyta-september-poa-meeting,gamma002.test@example.com,Gamma002,Test008,D003,District 003,Manager 003,https://teams.microsoft.com/l/meetup-join/003/example@contoso.com
caplyta-september-poa-meeting,gamma003.test@example.com,Gamma003,Test009,D003,District 003,Manager 003,https://teams.microsoft.com/l/meetup-join/003/example@contoso.com
caplyta-september-poa-meeting,delta001.test@example.com,Delta001,Test010,D004,District 004,Manager 004,https://teams.microsoft.com/l/meetup-join/004/example@contoso.com
caplyta-september-poa-meeting,delta002.test@example.com,Delta002,Test011,D004,District 004,Manager 004,https://teams.microsoft.com/l/meetup-join/004/example@contoso.com
caplyta-september-poa-meeting,delta003.test@example.com,Delta003,Test012,D004,District 004,Manager 004,https://teams.microsoft.com/l/meetup-join/004/example@contoso.com
caplyta-september-poa-meeting,epsilon001.test@example.com,Epsilon001,Test013,D005,District 005,Manager 005,https://teams.microsoft.com/l/meetup-join/005/example@contoso.com
caplyta-september-poa-meeting,epsilon002.test@example.com,Epsilon002,Test014,D005,District 005,Manager 005,https://teams.microsoft.com/l/meetup-join/005/example@contoso.com
caplyta-september-poa-meeting,epsilon003.test@example.com,Epsilon003,Test015,D005,District 005,Manager 005,https://teams.microsoft.com/l/meetup-join/005/example@contoso.com
caplyta-september-poa-meeting,zeta001.test@example.com,Zeta001,Test016,D006,District 006,Manager 006,https://teams.microsoft.com/l/meetup-join/006/example@contoso.com
caplyta-september-poa-meeting,zeta002.test@example.com,Zeta002,Test017,D006,District 006,Manager 006,https://teams.microsoft.com/l/meetup-join/006/example@contoso.com
caplyta-september-poa-meeting,zeta003.test@example.com,Zeta003,Test018,D006,District 006,Manager 006,https://teams.microsoft.com/l/meetup-join/006/example@contoso.com
caplyta-september-poa-meeting,eta001.test@example.com,Eta001,Test019,D007,District 007,Manager 007,https://teams.microsoft.com/l/meetup-join/007/example@contoso.com
caplyta-september-poa-meeting,eta002.test@example.com,Eta002,Test020,D007,District 007,Manager 007,https://teams.microsoft.com/l/meetup-join/007/example@contoso.com
caplyta-september-poa-meeting,eta003.test@example.com,Eta003,Test021,D007,District 007,Manager 007,https://teams.microsoft.com/l/meetup-join/007/example@contoso.com
caplyta-september-poa-meeting,theta001.test@example.com,Theta001,Test022,D008,District 008,Manager 008,https://teams.microsoft.com/l/meetup-join/008/example@contoso.com
caplyta-september-poa-meeting,theta002.test@example.com,Theta002,Test023,D008,District 008,Manager 008,https://teams.microsoft.com/l/meetup-join/008/example@contoso.com
caplyta-september-poa-meeting,theta003.test@example.com,Theta003,Test024,D008,District 008,Manager 008,https://teams.microsoft.com/l/meetup-join/008/example@contoso.com
caplyta-september-poa-meeting,iota001.test@example.com,Iota001,Test025,D009,District 009,Manager 009,https://teams.microsoft.com/l/meetup-join/009/example@contoso.com
caplyta-september-poa-meeting,iota002.test@example.com,Iota002,Test026,D009,District 009,Manager 009,https://teams.microsoft.com/l/meetup-join/009/example@contoso.com
caplyta-september-poa-meeting,iota003.test@example.com,Iota003,Test027,D009,District 009,Manager 009,https://teams.microsoft.com/l/meetup-join/009/example@contoso.com
caplyta-september-poa-meeting,kappa001.test@example.com,Kappa001,Test028,D010,District 010,Manager 010,https://teams.microsoft.com/l/meetup-join/010/example@contoso.com
caplyta-september-poa-meeting,kappa002.test@example.com,Kappa002,Test029,D010,District 010,Manager 010,https://teams.microsoft.com/l/meetup-join/010/example@contoso.com
caplyta-september-poa-meeting,kappa003.test@example.com,Kappa003,Test030,D010,District 010,Manager 010,https://teams.microsoft.com/l/meetup-join/010/example@contoso.com
